Congress,Years,Senate total,Senate dems,Senate rep,Senate majority,HOR total,HOR dems,HOR reps,HOR majority,Congress majority,President,President party,Trifecta,Trifecta party
35th,1857–1859,64,39,20,D,237,131,94,D,D,James Buchanan,D,Yes,D
36th,1859–1861,66,38,26,D,237,101,113,R,-,James Buchanan,D,No,-
37th,1861–1863,50,11,31,R,178,42,106,R,R,Abraham Lincoln[12],R,Yes,R
38th,1863–1865,51,12,29,R,183,80,103,R,R,Abraham Lincoln[12],R,Yes,R
39th,1865–1867,52,10,42,R,191,46,145,R,R,Andrew Johnson[13],R,-,-
40th,1867–1869,53,11,42,R,193,49,143,R,R,Andrew Johnson[13],R,No,-
41st,1869–1871,74,11,61,R,243,73,170,R,R,Ulysses S. Grant,R,Yes,R
42nd,1871–1873,74,17,57,R,243,104,136,R,R,Ulysses S. Grant,R,Yes,R
43rd,1873–1875,74,19,54,R,293,88,203,R,R,Ulysses S. Grant,R,Yes,R
44th,1875–1877,76,29,46,R,293,181,107,D,-,Ulysses S. Grant,R,No,-
45th,1877–1879,76,36,39,R,293,156,137,D,-,Rutherford B. Hayes,R,No,-
46th,1879–1881,76,43,33,D,293,150,128,D,D,Rutherford B. Hayes,R,No,-
47th,1881–1883,76[15],37,37,R,293,130,152,R,R,Chester A. Arthur[16],R,No,-
48th,1883–1885,76,36,40,R,325,200,119,D,-,Chester A. Arthur[16],R,No,-
49th,1885–1887,76,34,41,R,325,182,140,D,-,Grover Cleveland,D,No,-
50th,1887–1889,76,37,39,R,325,170,151,D,-,Grover Cleveland,D,No,-
51st,1889–1891,84,37,47,R,330,156,173,R,R,Benjamin Harrison,R,Yes,R
52nd,1891–1893,88,39,47,R,333,231,88,D,-,Benjamin Harrison,R,No,-
53rd,1893–1895,88,44,38,D,356,220,126,D,D,Grover Cleveland,D,Yes,D
54th,1895–1897,88,39,44,R,357,104,246,R,R,Grover Cleveland,D,No,-
55th,1897–1899,90,34,46,R,357,134,206,R,R,William McKinley[17],R,Yes,R
56th,1899–1901,90,26,53,R,357,163,185,R,R,William McKinley[17],R,Yes,R
57th,1901–1903,90,29,56,R,357,153,198,R,R,Theodore Roosevelt,R,Yes,R
58th,1903–1905,90,32,58,R,386,178,207,R,R,Theodore Roosevelt,R,Yes,R
59th,1905–1907,90,32,58,R,386,136,250,R,R,Theodore Roosevelt,R,Yes,R
60th,1907–1909,92,29,61,R,386,164,222,R,R,Theodore Roosevelt,R,Yes,R
61st,1909–1911,92,32,59,R,391,172,219,R,R,William H. Taft,R,Yes,R
62nd,1911–1913,92,42,49,R,391,228,162,D,-,William H. Taft,R,No,-
63rd,1913–1915,96,51,44,D,435,290,127,D,D,Woodrow Wilson,D,Yes,D
64th,1915–1917,96,56,39,D,435,231,193,D,D,Woodrow Wilson,D,Yes,D
65th,1917–1919,96,53,42,D,435,210,216,R,-,Woodrow Wilson,D,Yes,D
66th,1919–1921,96,47,48,R,435,191,237,R,R,Woodrow Wilson,D,No,-
67th,1921–1923,96,37,59,R,435,132,300,R,R,Warren G. Harding[19],R,Yes,R
68th,1923–1925,96,43,51,R,435,207,225,R,R,Calvin Coolidge,R,Yes,R
69th,1925–1927,96,40,54,R,435,183,247,R,R,Calvin Coolidge,R,Yes,R
70th,1927–1929,96,47,48,R,435,195,237,R,R,Calvin Coolidge,R,Yes,R
71st,1929–1931,96,39,56,R,435,163,267,R,R,Herbert Hoover,R,Yes,R
72nd,1931–1933,96,47,48,R,435,217,217,R,R,Herbert Hoover,R,No,-
73rd,1933–1935,96,59,36,D,435,313,117,D,D,Franklin D. Roosevelt[20],D,Yes,D
74th,1935–1937,96,69,25,D,435,322,103,D,D,Franklin D. Roosevelt[20],D,Yes,D
75th,1937–1939,96,76,16,D,435,333,89,D,D,Franklin D. Roosevelt[20],D,Yes,D
76th,1939–1941,96,69,23,D,435,261,169,D,D,Franklin D. Roosevelt[20],D,Yes,D
77th,1941–1943,96,66,28,D,435,268,162,D,D,Franklin D. Roosevelt[20],D,Yes,D
78th,1943–1945,96,57,38,D,435,222,209,D,D,Franklin D. Roosevelt[20],D,Yes,D
79th,1945–1947,96,57,38,D,435,243,190,D,D,Harry S. Truman,D,Yes,D
80th,1947–1949,96,45,51,R,435,188,246,R,R,Harry S. Truman,D,No,-
81st,1949–1951,96,54,42,D,435,262,171,D,D,Harry S. Truman,D,Yes,D
82nd,1951–1953,96,48,47,D,435,235,199,D,D,Harry S. Truman,D,Yes,D
83rd,1953–1955,96,46,48,R,435,213,221,R,R,Dwight D. Eisenhower,R,Yes,R
84th,1955–1957,96,48,47,D,435,232,203,D,D,Dwight D. Eisenhower,R,No,-
85th,1957–1959,96,49,47,D,435,234,201,D,D,Dwight D. Eisenhower,R,No,-
86th,1959–1961,98,64,34,D,437,284,153,D,D,Dwight D. Eisenhower,R,No,-
87th,1961–1963,100,64,36,D,437,262,175,D,D,John F. Kennedy[22],D,Yes,D
88th,1963–1965,100,67,33,D,435,258,176,D,D,Lyndon B. Johnson,D,Yes,D
89th,1965–1967,100,68,32,D,435,295,140,D,D,Lyndon B. Johnson,D,Yes,D
90th,1967–1969,100,64,36,D,435,247,187,D,D,Lyndon B. Johnson,D,Yes,D
91st,1969–1971,100,58,42,D,435,243,192,D,D,Richard Nixon[24],R,Yes,R
92nd,1971–1973,100,54,44,D,435,255,180,D,D,Richard Nixon[24],R,No,-
93rd,1973–1975,100,56,42,D,435,243,192,D,D,Gerald Ford,R,No,-
94th,1975–1977,100,61,37,D,435,291,144,D,D,Gerald Ford,R,No,-
95th,1977–1979,100,61,38,D,435,292,143,D,D,Jimmy Carter,D,Yes,D
96th,1979–1981,100,58,41,D,435,277,157,D,D,Jimmy Carter,D,Yes,D
97th,1981–1983,100,46,53,R,435,242,192,D,-,Ronald Reagan,R,No,-
98th,1983–1985,100,46,54,R,435,269,165,D,-,Ronald Reagan,R,No,-
99th,1985–1987,100,47,53,R,435,253,181,D,-,Ronald Reagan,R,No,-
100th,1987–1989,100,55,45,D,435,258,177,D,D,Ronald Reagan,R,No,-
101st,1989–1991,100,55,45,D,435,260,175,D,D,George H. W. Bush,R,No,-
102nd,1991–1993,100,56,44,D,435,267,167,D,D,George H. W. Bush,R,No,-
103rd,1993–1995,100,57,43,D,435,258,176,D,D,Bill Clinton,D,Yes,D
104th,1995–1997,100,47,53,R,435,204,230,R,R,Bill Clinton,D,No,-
105th,1997–1999,100,45,55,R,435,206,227,R,R,Bill Clinton,D,No,-
106th,1999–2001,100,45,55,R,435,211,223,R,R,Bill Clinton,D,No,-
107th,2001–2003,100,50,50,-,435,212,221,R,-,George W. Bush,R,-,-
108th,2003–2005,100,48,51,R,435,205,229,R,R,George W. Bush,R,Yes,R
109th,2005–2007,100,44,55,R,435,202,232,R,R,George W. Bush,R,Yes,R
110th,2007–2009,100,49,49,R,435,233,202,D,-,George W. Bush,R,No,-
111th,2009–2011,100,56,40,D,435,257,178,D,D,Barack Obama,D,Yes,D
112th,2011–2013,100,51,47,D,435,193,242,R,-,Barack Obama,D,No,-
113th,2013–2015,100,53,45,D,435,201,234,R,-,Barack Obama,D,No,-
114th,2015–2017,100,44,54,R,435,188,247,R,R,Barack Obama,D,No,-
115th,2017–2019,100,46,50,R,435,194,241,R,R,Donald Trump,R,Yes,R
116th,2019–2021,100,45,53,R,435,235,200,D,-,Donald Trump,R,No,-
117th,2021–2023,100,50,50,D,435,222,213,D,D,Joe Biden,D,Yes,D
118th,2023–2025,100,48,49,R,435,213,222,R,R,Joe Biden,D,No,-
