,Title,congress_num,Legislation Number,URL,Date of Introduction,Latest Action Date,Sponsor,Number of Cosponsors,Committees,allsubjects,summary,passed,officehistorian,tag_reform,tag_financial,financial type,tag_workforce,tag_foreign,tag_aid,tag_dod,tag_other
0,"A bill to amend Section 235 of the Foreign Relations Authorization Act, Fiscal Years 1990 and 1991 (Public Law 101-246), and to amend Section 701 of the United States Information and Educational Exchange Act of 1948, as amended (Public Law 80-402.",102,S. 2488,https://www.congress.gov/bill/102nd-congress/senate-bill/2488,3/26/92,3/26/92,"Pell, Claiborne [Sen.-D-RI]",0,Senate - Foreign Relations,"Appropriations, Cultural relations, Education, Educational exchanges, Government Operations and Politics, International Affairs, International broadcasting, Kuwait, Radio broadcasting, Reprogramming of appropriated funds, Sao Tome and Principe, Sri Lanka, United States Information Agency",-,FALSE,FALSE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
1,A bill to amend the Arctic Research and Policy Act of 1984 to improve and clarify its provisions.,101,S. 677,https://www.congress.gov/bill/101st-congress/senate-bill/677,3/17/89,11/16/90,"Murkowski, Frank H. [Sen.-R-AK]",1,"House - Science, Space and Technology | Senate - Governmental Affairs","Administrative procedure, Arctic and polar regions, Congressional reporting requirements, Federal advisory bodies, Government paperwork, International cooperation in science, Research, Science, Technology, Communications",-,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
2,"A bill to amend the Central Intelligence Agency Act of 1949 to authorize the provision of compensation to personnel of the Central Intelligence Agency who incur disabilities resulting from certain injuries to the brain, to authorize the provision of compensation to personnel of the Department of State who incur similar disabilities, and for other purposes.",116,S. 4973,https://www.congress.gov/bill/116th-congress/senate-bill/4973,12/8/20,12/8/20,"Collins, Susan M. [Sen.-R-ME]",9,Senate - Homeland Security and Governmental Affairs,Armed Forces and National Security,"This bill provides statutory authority for the Central Intelligence Agency (CIA) and the Department of State to compensate employees and certain family members for qualifying brain injuries sustained while stationed in a foreign country. Under the bill, the CIA and the State Department may provide compensation for a covered individual who has a partial or total disability resulting from a qualifying brain injury for which the individual is not receiving disability payments from the United States. Existing requirements and limitations related to compensation for injuries sustained by CIA and State Department employees shall apply to compensation provided under the bill. The bill shall apply to qualifying injuries sustained before or after the bill's enactment.",FALSE,FALSE,FALSE,TRUE,DOS,TRUE,FALSE,FALSE,FALSE,FALSE
3,"A bill to amend the Department of State Appropriations Authorization Act of 1973, and the Foreign Service Buildings Act, 1926.",93,S. 3119,https://www.congress.gov/bill/93rd-congress/senate-bill/3119,3/6/74,3/6/74,"Sparkman, John J. [Sen.-D-AL]",0,Senate - Foreign Relations,"Appropriations, Department of State, Economics and Public Finance",-,FALSE,TRUE,FALSE,TRUE,DOS,TRUE,FALSE,FALSE,FALSE,FALSE
4,A bill to amend the Department of State Appropriations Authorization Act of 1973.,93,S. 2872,https://www.congress.gov/bill/93rd-congress/senate-bill/2872,1/21/74,1/21/74,"Fulbright, James [Sen.-D-AR]",0,Senate - Foreign Relations,"Appropriations, Department of State, Economics and Public Finance",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,FALSE,FALSE,FALSE,FALSE
5,"A bill to amend the Foreign Relations Authorization Act, Fiscal Years 1992 and 1993, to make available additional funds to the Department of State for the United States contributions to international peacekeeping activities.",102,S. 2503,https://www.congress.gov/bill/102nd-congress/senate-bill/2503,3/31/92,3/31/92,"Simon, Paul [Sen.-D-IL]",5,Senate - Appropriations,"Authorization, Budget deficits, Federal budgets, International Affairs, International military forces, Off-budget expenditures, United Nations",-,FALSE,TRUE,FALSE,TRUE,DOS,FALSE,TRUE,FALSE,FALSE,FALSE
6,"A bill to amend the Foreign Relations Authorization Act, fiscal year 1976, to authorize additional appropriations for the Foreign Service Buildings program for fiscal year 1977.",95,S. 870,https://www.congress.gov/bill/95th-congress/senate-bill/870,3/3/77,3/3/77,"Sparkman, John J. [Sen.-D-AL]",0,Senate - Foreign Relations,"American property in foreign countries, Authorization, Department of State, Economics and Public Finance, Foreign service, Government Operations and Politics, Government property, International Affairs, U.S. Agency for International Development, United States Information Agency",-,FALSE,FALSE,FALSE,TRUE,DOS,TRUE,TRUE,FALSE,FALSE,FALSE
7,"A bill to amend the Foreign Service Act of 1946 to provide for annuities to former spouses and surviving former spouses of Foreign Service Officers, if such former spouses were married to such officers during the period of creditable service.",96,H.R. 2857,https://www.congress.gov/bill/96th-congress/house-bill/2857,3/13/79,3/13/79,"Schroeder, Patricia [Rep.-D-CO-1]",0,"House - Foreign Affairs, Post Office and Civil Service","Department of State, Employee benefit plans, Federal employees, Foreign service, Labor and Employment, Retirement income, Survivors' benefits",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
8,"A bill to amend the Foreign Service Act of 1980 to allow additional deductions by the Agency for International Development from the salaries of Inspector General Foreign Service criminal investigators for retirement purposes, to increase the mandatory retirement age of Foreign Service criminal investigators from 55 to 57 years of age and to include Administratively Uncontrollable Overtime as basic pay in computing the annuity of a noncommissioned Foreign Service criminal investigator.",102,S. 3275,https://www.congress.gov/bill/102nd-congress/senate-bill/3275,9/25/92,11/24/92,"Pell, Claiborne [Sen.-D-RI]",0,"House - Foreign Affairs, Post Office and Civil Service | Senate - Foreign Relations","Annuities, Civil service retirement, Criminal investigation, Foreign service, Government trust funds, International Affairs, Law enforcement officers, Mandatory retirement, Overtime, Salaries",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
9,"A bill to amend the Foreign Service Act of 1980 to provide essential benefits to certain former spouses not eligible for any benefits under that Act, and for other purposes.",98,H.R. 5598,https://www.congress.gov/bill/98th-congress/house-bill/5598,5/3/84,5/10/84,"Schroeder, Patricia [Rep.-D-CO-1]",3,"House - Foreign Affairs, Post Office and Civil Service","Business and commerce, Department of State, Foreign service, Health, Health insurance, Insurance, International Affairs, Retirement",-,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE
